,area,perimeter,compactness,length,width,coeff,grooveLength,classification
0,20.03,16.9,0.881,6.493,3.857,3.063,6.32,2.0
1,10.59,12.41,0.865,4.899,2.787,4.975,4.794,3.0
2,18.59,16.05,0.907,6.037,3.86,6.001,5.877,2.0
3,10.8,12.57,0.859,4.981,2.821,4.773,5.063,3.0
4,18.3,15.89,0.911,5.979,3.755,2.837,5.962,2.0
5,13.89,14.02,0.888,5.439,3.199,3.986,4.738,1.0
6,15.6,15.11,0.858,5.832,3.286,2.725,5.752,2.0
7,19.94,16.92,0.875,6.675,3.763,3.252,6.55,2.0
8,15.38,14.9,0.871,5.884,3.268,4.462,5.795,2.0
9,12.55,13.57,0.856,5.333,2.968,4.419,5.176,3.0
10,12.7,13.71,0.849,5.386,2.911,3.26,5.316,3.0
11,18.72,16.19,0.898,6.006,3.857,5.324,5.879,2.0
12,11.18,12.72,0.868,5.009,2.81,4.051,4.828,3.0
13,11.65,13.07,0.858,5.108,2.85,5.209,5.135,3.0
14,13.78,14.06,0.876,5.479,3.156,3.136,4.872,1.0
15,11.81,13.45,0.82,5.413,2.716,4.898,5.352,3.0
16,20.2,16.89,0.889,6.285,3.864,5.173,6.187,2.0
17,11.4,13.08,0.838,5.136,2.763,5.588,5.089,3.0
18,10.91,12.8,0.837,5.088,2.675,4.179,4.956,3.0
19,13.8,14.04,0.879,5.376,3.155,1.56,4.961,1.0
20,20.97,17.25,0.886,6.563,3.991,4.677,6.316,2.0
21,19.18,16.63,0.872,6.369,3.681,3.357,6.229,2.0
22,16.2,15.27,0.873,5.826,3.464,2.823,5.527,1.0
23,11.02,13.0,0.819,5.325,2.701,6.735,5.163,3.0
24,12.8,13.47,0.886,5.16,3.126,4.873,4.914,3.0
25,12.05,13.41,0.842,5.267,2.847,4.988,5.046,3.0
26,18.89,16.23,0.901,6.227,3.769,3.639,5.966,2.0
27,11.27,12.86,0.856,5.091,2.804,3.985,5.001,3.0
28,13.2,13.66,0.888,5.236,3.232,8.315,5.056,3.0
29,15.99,14.89,0.906,5.363,3.582,3.336,5.144,2.0
30,12.19,13.36,0.858,5.24,2.909,4.857,5.158,3.0
31,16.77,15.62,0.864,5.927,3.438,4.92,5.795,2.0
32,14.11,14.26,0.872,5.52,3.168,2.688,5.219,1.0
33,18.76,16.2,0.898,6.172,3.796,3.12,6.053,2.0
34,12.02,13.33,0.85,5.35,2.81,4.271,5.308,3.0
35,14.29,14.09,0.905,5.291,3.337,2.699,4.825,1.0
36,17.63,15.98,0.867,6.191,3.561,4.076,6.06,2.0
37,18.27,16.09,0.887,6.173,3.651,2.443,6.197,2.0
38,11.49,13.22,0.826,5.304,2.695,5.388,5.31,3.0
39,14.69,14.49,0.88,5.563,3.259,3.586,5.219,1.0
40,11.26,13.01,0.836,5.186,2.71,5.335,5.092,3.0
41,20.24,16.91,0.89,6.315,3.962,5.901,6.188,2.0
42,15.26,14.84,0.871,5.763,3.312,2.221,5.22,1.0
43,11.14,12.79,0.856,5.011,2.794,6.388,5.049,3.0
44,20.71,17.23,0.876,6.579,3.814,4.451,6.451,2.0
45,19.14,16.61,0.872,6.259,3.737,6.682,6.053,2.0
46,12.88,13.5,0.888,5.139,3.119,2.352,4.607,1.0
47,15.36,14.76,0.886,5.701,3.393,1.367,5.132,1.0
48,16.82,15.51,0.879,6.017,3.486,4.004,5.841,2.0
49,18.81,16.29,0.891,6.272,3.693,3.237,6.053,2.0
50,12.26,13.6,0.833,5.408,2.833,4.756,5.36,3.0
51,18.98,16.66,0.859,6.549,3.67,3.691,6.498,2.0
52,12.67,13.32,0.898,4.984,3.135,2.3,4.745,3.0
53,15.26,14.85,0.87,5.714,3.242,4.543,5.314,1.0
54,14.09,14.41,0.853,5.717,3.186,3.92,5.299,1.0
55,17.36,15.76,0.878,6.145,3.574,3.526,5.971,2.0
56,19.57,16.74,0.878,6.384,3.772,1.472,6.273,2.0
57,12.1,13.15,0.879,5.105,2.941,2.201,5.056,3.0
58,16.41,15.25,0.887,5.718,3.525,4.217,5.618,2.0
59,18.75,16.18,0.9,6.111,3.869,4.188,5.992,2.0
60,12.08,13.23,0.866,5.099,2.936,1.415,4.961,1.0
61,18.65,16.41,0.87,6.285,3.594,4.391,6.102,2.0
62,16.44,15.25,0.888,5.884,3.505,1.969,5.533,1.0
63,12.21,13.47,0.845,5.357,2.893,1.661,5.178,3.0
64,18.95,16.42,0.883,6.248,3.755,3.368,6.148,2.0
65,12.54,13.67,0.842,5.451,2.879,3.082,5.491,3.0
66,15.38,14.66,0.899,5.477,3.465,3.6,5.439,2.0
67,19.38,16.72,0.872,6.303,3.791,3.678,5.965,2.0
68,13.37,13.78,0.885,5.32,3.128,4.67,5.091,3.0
69,12.78,13.57,0.872,5.262,3.026,1.176,4.782,1.0
70,14.59,14.28,0.899,5.351,3.333,4.185,4.781,1.0
71,13.5,13.85,0.885,5.351,3.158,2.249,5.176,1.0
72,11.27,12.97,0.842,5.088,2.763,4.309,5.0,3.0
73,18.55,16.22,0.886,6.153,3.674,1.738,5.894,2.0
74,16.53,15.34,0.882,5.875,3.467,5.532,5.88,2.0
75,14.49,14.61,0.854,5.715,3.113,4.116,5.396,1.0
76,13.02,13.76,0.864,5.395,3.026,3.373,4.825,1.0
77,17.32,15.91,0.86,6.064,3.403,3.824,5.922,2.0
78,15.5,14.86,0.882,5.877,3.396,4.711,5.528,1.0
79,15.01,14.76,0.866,5.789,3.245,1.791,5.001,1.0
80,13.84,13.94,0.896,5.324,3.379,2.259,4.805,1.0
81,12.79,13.53,0.879,5.224,3.054,5.483,4.958,3.0
82,14.86,14.67,0.868,5.678,3.258,2.129,5.351,1.0
83,10.79,12.93,0.811,5.317,2.648,5.462,5.194,3.0
84,18.94,16.32,0.894,6.144,3.825,2.908,5.949,2.0
85,12.76,13.38,0.896,5.073,3.155,2.828,4.83,3.0
86,13.16,13.82,0.866,5.454,2.975,0.855,5.056,1.0
87,18.14,16.12,0.877,6.059,3.563,3.619,6.011,2.0
88,19.06,16.45,0.885,6.416,3.719,2.248,6.163,2.0
89,12.89,13.77,0.854,5.495,3.026,6.185,5.316,3.0
90,16.63,15.46,0.875,6.053,3.465,2.04,5.877,1.0
91,11.42,12.86,0.868,5.008,2.85,2.7,4.607,1.0
92,20.16,17.03,0.874,6.513,3.773,1.91,6.185,2.0
93,14.88,14.57,0.881,5.554,3.333,1.018,4.956,1.0
94,14.92,14.43,0.901,5.384,3.412,1.142,5.088,1.0
95,15.88,14.9,0.899,5.618,3.507,0.765,5.091,1.0
96,11.23,12.63,0.884,4.902,2.879,2.269,4.703,1.0
97,13.22,13.84,0.868,5.395,3.07,4.157,5.088,1.0
98,14.11,14.1,0.891,5.42,3.302,2.7,5.0,1.0
99,11.23,12.88,0.851,5.14,2.795,4.325,5.003,3.0
100,13.32,13.94,0.861,5.541,3.073,7.035,5.44,3.0
101,18.88,16.26,0.897,6.084,3.764,1.649,6.109,2.0
102,19.31,16.59,0.882,6.341,3.81,3.477,6.238,2.0
103,14.37,14.39,0.873,5.569,3.153,1.464,5.3,1.0
104,14.43,14.4,0.875,5.585,3.272,3.975,5.144,1.0
105,13.34,13.95,0.862,5.389,3.074,5.995,5.307,3.0
106,12.13,13.73,0.808,5.394,2.745,4.825,5.22,3.0
107,11.34,12.87,0.86,5.053,2.849,3.347,5.003,3.0
108,16.23,15.18,0.885,5.872,3.472,3.769,5.922,2.0
109,11.43,13.13,0.834,5.176,2.719,2.221,5.132,3.0
110,17.99,15.86,0.899,5.89,3.694,2.068,5.837,2.0
111,14.16,14.4,0.858,5.658,3.129,3.072,5.176,1.0
112,11.48,13.05,0.847,5.18,2.758,5.876,5.002,3.0
113,16.19,15.16,0.885,5.833,3.421,0.903,5.307,1.0
114,15.56,14.89,0.882,5.776,3.408,4.972,5.847,2.0
115,16.84,15.67,0.862,5.998,3.484,4.675,5.877,2.0
116,17.55,15.66,0.899,5.791,3.69,5.366,5.661,2.0
117,11.82,13.4,0.827,5.314,2.777,4.471,5.178,3.0
118,11.87,13.02,0.88,5.132,2.953,3.597,5.132,3.0
119,17.12,15.55,0.889,5.85,3.566,2.858,5.746,2.0
120,16.16,15.33,0.864,5.845,3.395,4.266,5.795,2.0
121,12.7,13.41,0.887,5.183,3.091,8.456,5.0,3.0
122,15.57,15.15,0.853,5.92,3.231,2.64,5.879,2.0
123,17.26,15.73,0.876,5.978,3.594,4.539,5.791,2.0
124,13.07,13.92,0.848,5.472,2.994,5.304,5.395,3.0
125,17.08,15.38,0.908,5.832,3.683,2.956,5.484,1.0
